,Title,Citation,DOI,Year,FINDINGS,affiliation,lab_size,Highest_degree,Degree_area,Publication_Rate,Other Journals Published In,duration of Career(Years)
75,HtrA1 in human urothelial bladder cancer: A secreted protein and a potential novel biomarker,"PNAS | July 9, 2013 | vol. 110 | no. 28 | 11409Ä11414",10.1371/journal.pgen.1004121,2013,Multiple cases of shifted or rotated blot panels,"Department of Biochemistry and Molecular Biophysics, Biochemistry and Molecular and Cellular Biology Graduate Program, University of Arizona, Tucson, AZ, USA.",9,,,1.2727272727272727,14,8
76,"Essential roles of PI(3)KÄp110b in cell growth, metabolism and tumorigenesis","Science 321, 1357 (2008)",10.1128/JCM.41.8.3584-3591.2003,2012,"Duplicated blots, multiple cases","1] INSERM, U895 (équipe 1), Equipe labélisée Ligue Contre le Cancer, C3M, 06204 Nice, France [2] Université of Nice Sophia-Antipolis, UFR Médecine, 06204 Nice, France [3] Centre Hospitalier Universitaire de Nice, Service de Dermatologie, 06204 Nice, France [4].",23,,,8.571428571428571,136,15
77,HD-GYP domain proteins regulate biofilm formation and virulence in Pseudomonas aeruginosa,"BioMed Research International Volume 2013, Article ID 210604",10.1128/IAI.00913-08,2009,"multiple cases of shifted blots, duplicated bands within blots","Department of Microbiology, BIOMERIT Research Centre, BioSciences Institute, National University of Ireland, Cork, Ireland.",13,PhD,Biology,16.5,17,19
78,Adenovirus-mediated overexpression of BMP-9 inhibits human osteosarcoma cell growth and migration through downregulation of the PI3K/AKT pathway,"Infect. Immun. Mar. 2004, p. 1223Ä1229 Vol. 72, No. 3",10.1016/j.cyto.2012.08.025,2012,,None,15,,,3.25,70,10
79,Adenovirus-mediated overexpression of BMP-9 inhibits human osteosarcoma cell growth and migration through downregulation of the PI3K/AKT pathway,"Journal of Applied Microbiology 2010, 109:1668Ä1676",10.1371/journal.pone.0069134,2006,two similar looking western blot strips,"School of Medicine, Chung Shan Medical University, 110 Chien-Kuo N. Road, Section 1, Taichung 402, Taiwan ; Department of Emergency Medicine, Chung Shan Medical University, 110 Chien-Kuo N. Road, Section 1, Taichung 402, Taiwan ; Department of Emergency Medicine, Chung Shan Medical University Hospital, 110 Chien-Kuo N. Road, Section 1, Taichung 402, Taiwan.",9,Doctor of Philosophy,Biology,8.857142857142858,130,17
80,"Development and Evaluation of a Sensitive and Specific Assay for Diagnosis of Human Toxocariasis by Use of Three Recombinant Antigens (TES-26, TES-30USM and TES-120)",Journal of Autoimmunity 24 (2005) 69-78,10.1128/JCM.00418-06,2010,"Overlapping blots, two cases","Department of Neurology, The Agnes Ginges Center for Human Neurogenetics, Hadassah University Hospital, Jerusalem, Israel",15,PhD,,1.0769230769230769,7,9
81,Ectopic Expression of a Maize Hybrid Down-Regulated Gene ZmARF25 Decreases Organ Size by Affecting Cellular Proliferation in Arabidopsis,"Int. J. Cancer: 133, 2726Ä2736 (2013)",10.1128/IAI.05798-11,2007,Overlapping microscopy images,None,5,,,2.6,23,17
82,Upregulation of tumor necrosis factor-alpha expression by trans10-cis12 conjugated linoleic acid enhances phagocytosis of RAW macrophages via a peroxisome proliferator-activated receptor gamma-dependent pathway,mBio 3(6): 2012,10.1371/journal.pone.0084982,2013,"Duplicated cells within microscopy panels, multiple cases, duplicated blots","Bellvitge Biomedical Research Institute (IDIBELL), Barcelona, Spain",23,PhD,,17.647058823529417,2,5
83,The deubiquitylase USP37 links REST to the control of p27 stability and cell proliferation,"PLOS Pathogens, January 2014 | Volume 10 | Issue 1 | e1003896",10.1186/bcr3128,2011,Duplicated blot panel,None,0,,Medicine,1.3333333333333333,59,14
84,"Ovarian cancer cells, not normal cells, are damaged by Mirk/Dyrk1B kinase inhibition","Infect. Immun. Feb. 2003, p. 948Ä955 Vol. 71, No. 2",10.1371/journal.pone.0090608,2012,"Duplicated control panel, stretched","Department of Microbiology, Laboratory of Mycotoxins and Toxigenic Fungi, University of São Paulo, São Paulo, São Paulo, Brazil",25,,,9.833333333333334,8,14
85,Upregulation of PIAS1 protects against sodium taurocholate-induced severe acute pancreatitis associated with acute lung injury,"INTERNATIONAL JOURNAL OF ONCOLOGY 42: 690-698, 2013",10.1016/j.cyto.2014.07.249,2009,Duplicated and mirrored blot,"Laboratory of Veterinary Internal Medicine, Department of Veterinary Medicine, College of Veterinary Medicine and Research Institute of Veterinary Medicine, Chungbuk National University, Cheongju, Chungbuk 361-763, Republic of Korea.",15,PhD,Biology,7.0,17,13
86,Distribution of the Secondary Type III Secretion System Locus Found in Enterohemorrhagic Escherichia coli O157:H7 Isolates among Shiga Toxin-Producing E. coli Strains,mBio 3(6): 2012,10.1016/j.cyto.2004.11.009,2013,Duplicated blot,"Department of Life Science, National Taiwan Normal University, 88 Ting-chou Road, sec 4, Taipei, Taiwan.",15,MSc.,Biology,3.8571428571428568,300,14
87,Up-regulation of focal adhesion kinase in non-small cell lung cancer,"PLOS One, April 2014 | Volume 9 | Issue 4 | e95926",10.3892/ijo.2012.1470,2014,Duplicated blots,"Key Laboratory of Experimental Marine Biology, Institute of Oceanology, Chinese Academy of Sciences, Qingdao, China.",10,,Biology,0.2682926829268293,13,7
88,Functional EF-Hands in Neuronal Calcium Sensor GCAP2 Determine Its Phosphorylation State and Subcellular Distribution In Vivo and Are Essential for Photoreceptor Cell Integrity,"Cancer Cell 26, 754Ä769, November 10, 2014",10.1002/ijc.27927,2012,"duplicated blot, shifted microscopy","Departments of Molecular Biology, The Scripps Research Institute, La Jolla, CA 92037, USA.",4,BSc,,0.4,5,13
89,Bacillus anthracis Capsule Activates Caspase-1 and Induces Interleukin-1__ Release from differentiated THP-1 and Human Monocyte-Derived Dendritic Cells__,"PLOS ONE, June 2014 | Volume 9 | Issue 6 | e98448",10.1111/j.1365-2672.2010.04795.x,2014,,"1] Institute of Bioinformatics and Biosignal Transduction, College of Bioscience and Biotechnology, National Cheng-Kung University, Tainan, Taiwan [2] Center for Infection Disease and Signal Transduction, National Cheng-Kung University, Tainan, Taiwan.",19,Doctor of Philosophy,,3.4705882352941178,14,10
90,Cisplatin in combination with zoledronic acid: A synergistic effect in triple-negative breast cancer cell lines,"BioMed Research International Volume 2014, Article ID 424767",10.1128/JCM.42.3.1082-1088.2004,2012,duplicated (negative) western blot,"Program in Developmental Biology, Baylor College of Medicine, Houston, Texas, United States of America",17,,,1.0,6,19
91,Rab1A Is an mTORC1 Activator and a Colorectal Oncogene,"PLOS Genetics, January 2013 | Volume 9 | Issue 1 | e1003094",10.1128/IAI.71.2.948-955.2003,2014,"Cut, and duplicated SDS PAGE parts",None,9,,,0.6666666666666666,9,18
92,The deubiquitylase USP37 links REST to the control of p27 stability and cell proliferation,"PLOS Pathogens, February 2014 | Volume 10 | Issue 2 | e1003981",10.1016/j.ccr.2013.04.019,2010,Duplicated blot panels,"Department of Life Science, National Taiwan Normal University, 88 Ting-chou Road, sec 4, Taipei, Taiwan.",3,,,2.875,11,7
93,Elevated Maspin Expression Is Associated with Better Overall Survival in Esophageal Squamous Cell Carcinoma (ESCC),"Infect. Immun. Mar. 2003, p. 1209Ä1216",10.1371/journal.pone.0084982,2005,"Duplicated compressed blots, overlapping microscopy","School of Human Science and Environment, University of Hyogo, Himeji, Japan. kitamoto@shse.u-hyogo.ac.jp",15,,,1.2222222222222223,136,2
94,"Investigation of the roles of T6SS genes in motility, biofilm formation and extracellular protease Asp production in Vibrio alginolyticus with modified Gateway-compatible plasmids","Microbiol. Immunol., 48(4), 289Ä295, 2004",10.1016/j.cyto.2012.05.021,2010,"overlapping microscopy images,but rotated/stretched","Department of Neurosurgery, Taichung Veterans General Hospital, Taichung 40705, Taiwan ; Department of Physical Therapy, Hung Kuang University, Taichung 43302, Taiwan ; Department of Medicine, National Defense Medical Center, Taipei 114, Taiwan ; Tri-Service General Hospital, National Defense Medical Center, Taipei 114, Taiwan.",23,,,1.5,253,7
95,HD-GYP domain proteins regulate biofilm formation and virulence in Pseudomonas aeruginosa,Cytokine 60 (2012) 718Ä730,10.1016/S0169-5002(01)00212-4,2010,Marker bands all identical?,"Laboratory of Virology and Immunology, Institute of Preventive Veterinary Medicine, College of Animal Sciences, Zhejiang University, 268 Kaixuan Road, Hangzhou, Zhejiang Province 310029, PR China. jyzhou@zju.edu.cn",15,PhD,,0.8333333333333334,14,6
96,Heat Shock Protein 27 Is Spatially Distributed in the Human Placenta and Decreased during Labor,Cytokine 42 (2008) 198Ä204,10.1111/j.1348-0421.2010.00241.x,2013,Duplicated whole figure; very likely error,"UMR7156 Génétique Moléculaire, Génomique et Microbiologie, CNRS Université de Strasbourg, 28 rue Goethe, 67000 Strasbourg, France.",11,,Medicine,1.5789473684210529,14,14
97,Terminalia catappa Exerts Antimetastatic Effects on Hepatocellular Carcinoma through Transcriptional Inhibition of Matrix Metalloproteinase-9 by Modulating NF-_B and AP-1 Activity,"PLOS One, February 2014 | Volume 9 | Issue 2 | e89546",10.1002/ijc.27863,2012,Multiple cases of duplicated blots,"Department of Microbiology and Molecular Genetics, University of Pittsburghgrid.21925.3d School of Medicine, Pittsburgh, Pennsylvania, USA.",13,,,0.6666666666666666,30,3
98,"STIM1, a direct target of microRNA-185, promotes tumor metastasis and is associated with poor prognosis in colorectal cancer","Int. J. Cancer: 132, 90Ä100 (2013)",10.1155/2013/594906,1999,"Duplicated cells within microscopy panels, multiple cases, duplicated blots","Department of Life Science, National Taiwan Normal University, 88 Ting-chou Road, sec 4, Taipei, Taiwan.",19,,,0.4,12,7
99,A Comparative Study for the Evaluation of Two Doses of Ellagic Acid on Hepatic Drug Metabolizing and Antioxidant Enzymes in the Rat,"Lung Cancer (2006) 53, 273Å284",10.1371/journal.pone.0094472,2013,"Duplication, stretching, what not, the lot","Department of Biology, Pamukkale University, Kinikli Campus, 20070 Denizli, Turkey.",11,,Education,0.4,5,8
100,DUSP1 Is a Novel Target for Enhancing Pancreatic Cancer Cell Sensitivity to Gemcitabine,"J. Clin. Microbiol. 2004, 42(3):1082",10.1016/j.jaut.2008.12.003,2009,"Overlapping microscopy, duplicated bands within blots","Department of Human Anatomy and Histology, University of Bari, Piazza Giulio Cesare 1, Policlinico, I-70124 Bari, Italy. m.sisto@anatomia.uniba.it",5,MD,,1.2857142857142858,44,15
101,cDNA cloning and functional analysis of goose interleukin-2,Lung Cancer 67 (2010) 205Ä215,10.1371/journal.pone.0069485,2005,Rotated western blot,"The Johns Hopkins Oncology Center, Program in Human Genetics, The Johns Hopkins University School of Medicine, Baltimore, Maryland 21231, USA.",15,,,1.15,41,12
102,STAT1 and STAT3 phosphorylation by porins are independent of JAKs but are dependent on MAPK pathway and plays a role in U937 cells production of interleukin-6,"INTERNATIONAL JOURNAL OF ONCOLOGY 42: 1113-1119, 2013",10.1155/2014/164391,2013,two similar looking western blot strips,None,7,,,2.1818181818181817,24,16
103,Fine Specificity of Plasmodium vivax Duffy Binding Protein Binding Engagement of the Duffy Antigen on Human Erythrocytes,"PLOS ONE, July 2013 | Volume 8 | Issue 7 | e69485,  doi: 10.1371/journal.pone.0069485",10.1128/JCM.41.6.2341-2347.2003,2013,Mirrored microscopy image,"Department of Diagnostic and Biological Sciences, School of Dentistry, University of Minnesota, Minneapolis, Minnesota, USA.",11,,Biology,0.8,34,5
104,Autocrine production of interleukin-8 confers cisplatin and paclitaxel resistance in ovarian cancer cells,"PLOS Pathogens, August 2013 | Volume 9 | Issue 8 | e1003576",10.1186/bcr3201,2013,Overlapping microscopy images,"Division of Nephrology and Center for Lung Biology, Department of Medicine and Pathology, University of Washington, Seattle, WA 98109, USA.",15,,Medicine,2.7222222222222223,58,15
105,Katanin Localization Requires Triplet Microtubules in Chlamydomonas reinhardtii,"Lung Cancer (2006) 53, 263Å271",10.1371/journal.pone.0062170,2011,Overlapping microscopy images,"Mikrobiologisches Institut, Universitätsklinikum Erlangen, Erlangen, Germany.",4,Ph.D.,,0.7777777777777778,25,18
106,Tiam1 is associated with hepatocellular carcinoma metastasis,Journal of Autoimmunity 32 (2009) 85Ä93,10.1002/ijc.27627,2008,Overlapping microscopy panels,"Stem Cell and Tissue Engineering Department, Research Center for Science and Technology in Medicine (RCSTiM), Tehran University of Medical Sciences, Tehran, Iran.",9,,Biology,3.4285714285714284,25,4
107,A SUMOylation-defective MITF germline mutation predisposes to melanoma and renal carcinoma,"PNAS _ April 17, 2012 _ vol. 109 _ no. 16, 6036Ä6041",10.1016/j.cyto.2008.06.007,2014,"Duplicated FACS panel, gated differently","Department of Parasitology, Asahikawa Medical College, Asahikawa, Japan.",21,PhD,,0.875,300,21
108,Anti-inflammatory effect of aldose reductase inhibition in murine polymicrobial sepsis,"PNAS | January22,2013 | vol.110 | no.4 | 1441",10.1371/journal.pone.0053510,2013,Overlapping microscopy images,"The Johns Hopkins Oncology Center, Program in Human Genetics, The Johns Hopkins University School of Medicine, Baltimore, Maryland 21231, USA.",7,,Biology,3.4444444444444446,11,11
109,Expression of extra trinucleotide in CD44 variant of rheumatoid arthritis patients allows generation of disease-specific monoclonal antibody,J. Cell Biol. Vol. 199 No. 3 481Ä496,10.1155/2012/378415,2003,"Reused blot, shifted, other protein","Institute of Pharmacology, Toxicology and Pharmacy, Ludwig-Maximilians-University, Munich, Germany",11,Ph.D.,,1.0,63,11
110,"Differential regulation of Cu, Zn- and Mn-superoxide dismutases by retinoic acid in normal and psoriatic human fibroblasts","Breast Cancer Research 2014, 16:R75",10.1371/journal.pone.0069583,2012,Duplicated lanes within same blot,"The Zabludowicz Center for Autoimmune Diseases, Sheba Medical Center, Affiliated to Sackler Faculty of Medicine, Tel-Aviv University, Israel.",13,PhD,,0.5,5,5
111,Role of MyD88 in Diminished Tumor Necrosis Factor Alpha Production by Newborn Mononuclear Cells in Response to Lipopolysaccharide,"Int. J. Cancer: 132, 2258Ä2269 (2013)",10.1128/JCM.41.8.3584-3591.2003,2013,"Multiple, multiple cases of duplicated lanes within blots/gels","Medical Biology Department, School of Medicine, Pamukkale University, Kinikli, Denizli, Turkey. hakanakca@yahoo.com",5,,Biology,1.4117647058823528,3,16
112,Electroacupuncture Treatment Improves Neurological Function Associated with Regulation of Tight Junction Proteins in Rats with Cerebral Ischemia Reperfusion Injury,"Infection, and Immunity, September 2014 Volume 82 Number 9 p. 3867Ä3879",10.1371/journal.pone.0069485,2013,"Duplicated, and shifted western blot panels","1] INSERM, U895 (équipe 1), Equipe labélisée Ligue Contre le Cancer, C3M, 06204 Nice, France [2] Université of Nice Sophia-Antipolis, UFR Médecine, 06204 Nice, France [3] Centre Hospitalier Universitaire de Nice, Service de Dermatologie, 06204 Nice, France [4].",11,,,1.5,39,12
113,Imbalance between pSmad3 and Notch induces CDK inhibitors in old muscle stem cells,"BMC Microbiology 2013, 13:113",10.1128/IAI.00956-09,2014,rotated duplicated colony photo,"Laboratory of Veterinary Internal Medicine, Department of Veterinary Medicine, College of Veterinary Medicine and Research Institute of Veterinary Medicine, Chungbuk National University, Cheongju, Chungbuk 361-763, Republic of Korea.",5,,Engineering,0.8181818181818182,300,12
114,Preparation of Monoclonal Antibodies Cross-Reactive with Orthopoxviruses and Their Application for Direct Immunofluorescence Test,"Infect. Immun. 2012, 80(8):2920",10.1126/science.1156725,2006,Overlapping microscopy images,"Department of Molecular and Human Genetics, Baylor College of Medicine, Houston, Texas, United States of America",21,,Medicine,60.0,41,16
115,Porphyromonas gingivalis lipopolysaccharide regulates interleukin (IL)-17 and IL-23 expression via SIRT1 modulation in human periodontal ligament cells,"Infect. Immun. 2012, 80(7):2558",10.1371/journal.ppat.1003114,2001,Duplicated blot panel,"1] Priority Research Centre for Cancer Research, University of Newcastle, Callaghan, NSW, Australia [2] School of Medicine and Public Health, University of Newcastle, Callaghan, NSW, Australia.",3,MD,Biology,30.5,11,19
116,The phosphatidylinositol-3 kinase I inhibitor BKM120 induces cell death in B-chronic lymphocytic leukemia cells in vitro,Nature. 1998 Jan 1;391(6662):96-9.,10.1016/j.jaut.2014.02.013,2013,"duplicated, stretched blot panels with duplicated area within blot","State Key Laboratory for Agrobiotechnology and Key Laboratory of Crop Heterosis and Utilization (MOE), Beijing Key Laboratory of Crop Genetic Improvement, China Agricultural University, Beijing, China",4,,,6.307692307692308,14,7
117,Terminalia catappa Exerts Antimetastatic Effects on Hepatocellular Carcinoma through Transcriptional Inhibition of Matrix Metalloproteinase-9 by Modulating NF-_B and AP-1 Activity,"PLOS Genetics, March 2013 | Volume 9 | Issue 3 | e1003361, doi:10.1371/journal.pgen.1003361",10.1002/ijc.28001,2013,Overlapping microscopy images,"Department of Veterinary PathoBiology, College of Veterinary Medicine, University of Minnesota, St. Paul, Minnesota 55108, USA.",4,,,0.8,26,1
118,Lactobacillus bulgaricus Prevents Intestinal Epithelial Cell Injury Caused by Enterobacter sakazakii-Induced Nitric Oxide both In Vitro and in the Newborn Rat Model of Necrotizing Enterocolitis__,"PLOS ONE, May 2014 | Volume 9 | Issue 5 | e96343",10.1186/bcr3200,2012,Manipulated FACS plots,"Anhui Provincial Laboratories of Pathogen Biology and Zoonoses, Department of Microbiology and Parasitology, Anhui Medical University, Hefei, China",9,,,1.0,19,17
119,Yangjing Capsule Extract Promotes Proliferation of GC-1 Spg Cells,"Nature, Vol. 401, 7 October 1999, page 616",10.1016/j.cyto.2005.12.007,2013,Duplicated area within the same blot,"1] Priority Research Centre for Cancer Research, University of Newcastle, Callaghan, NSW, Australia [2] School of Medicine and Public Health, University of Newcastle, Callaghan, NSW, Australia.",11,,,5.409090909090909,41,2
120,The distribution of interleukin-19 in healthy and neoplastic tissue,"Oncogene (2013) 32, 1691Ä1701",10.1155/2013/594906,2009,"Rotated microscopy image, authors replied on PP","Department of Biomedical Sciences and Periodontics, Baylor College of Dentistry, Dallas, Texas, USA.",19,,,9.833333333333334,76,17
121,Baicalein Selectively Induces Apoptosis in Activated Lymphocytes and Ameliorates Concanavalin A-Induced Hepatitis in Mice,"BioMed Research International, Volume 2013, Article ID 582526",10.1016/j.cyto.2009.07.004,2006,Duplicated microscopy panels,"State Key Laboratory of Cancer Biology and Xijing Hospital of Digestive Diseases, The Fourth Military Medical University, Xi'an, Shaanxi, People's Republic of China.",9,,,1.0,76,5
122,NOD2 Signaling Contributes to Host Defense in the Lungs against Escherichia coli Infection,"PLOS Pathogens, August 2013 | Volume 9 | Issue 8 | e1003576",10.1371/journal.pone.0103868,2013,duplicated bands within same gel panel,"Division of Breast Surgery and Department of Surgical Oncology, Roswell Park Comprehensive Cancer Center, Buffalo, NY, USA.",6,,,0.5,10,9
123,Expression and Differentiation between OCT4A and Its Pseudogenes in Human ESCs and Differentiated Adult Somatic Cells,"PLOS ONE, August 2014 | Volume 9 | Issue 8 | e105049, doi: 10.1371/journal.pone.0105049",10.1016/j.ccr.2013.12.007,2013,Shifted actin blot panels,"Department of Veterinary Biosciences, College of Veterinary Medicine, The Ohio State University, Columbus 43210-1093, USA.",11,,Biology,0.2222222222222222,10,18
124,Tumor necrosis factor alpha down-regulates the Na+-K+ ATPase and the Na+-K+2Cl- cotransporter in the kidney cortex and medulla,Journal of Autoimmunity 25 (2005) 206-214,10.1155/2014/936978,2014,"Duplicated control panel, stretched","Department of Pharmacology, School of Pharmacy, Hoshi University, 2-4-41 Ebara, Shinagawa-ku, Tokyo 142-8501, Japan.",7,,Education,2.6153846153846154,76,5
125,Interplay of RsbM and RsbK controls the sB activity of Bacillus cereuse,Cytokine 60 (2012) 360Ä368,10.1128/IAI.00913-08,2003,Multiple cases of duplicated bands within same blot panel,"Thoracic Surgery, Key Laboratory of Carcinogenesis and Translational Research Ministry of Education, Peking University School of Oncology, Beijing Cancer Hospital & Institute, Beijing, China",11,,,3.333333333333333,4,9
126,"Aucubin, a naturally occurring iridoid glycoside inhibits TNF-_-induced inflammatory responses through suppression of NF-_B activation in 3T3-L1 adipocytes",Cytokine 35 (2006) 67Ä76,10.1016/j.cyto.2005.12.007,2012,Overlapping microscopy images,"Departamento de Bioquímica y Biología Molecular, Facultad de Ciencias Químicas y Farmacéuticas, Universidad de Chile, Santiago, Chile.",15,,,4.473684210526316,36,14
127,Anti-inflammatory effect of aldose reductase inhibition in murine polymicrobial sepsis,Cytokine 44 (2008) 33Ä43,10.1016/j.cyto.2008.01.001,2013,duplication of whole blot?,"National Human Genome Research Institute, National Institutes of Health, Bethesda, Maryland, United States of America",4,Ph.D,,1.7,58,4
128,"Ovarian cancer cells, not normal cells, are damaged by Mirk/Dyrk1B kinase inhibition","Evidence-Based Complementary, and Alternative Medicine, Volume 2014, Article ID 989340",10.1128/IAI.00063-12,2006,Multiple cases of duplicated bands within same blot panel,"Department of Pathophysiology, Capital Medical University, Beijing 100069, China.",16,PhD,,10.0,29,12
129,LRP-6 is a coreceptor for multiple fibrogenic signaling pathways in pericytes and myofibroblasts that are inhibited by DKK-1,"Oncogene (2014) 33, 2295Ä2306",10.1016/j.cyto.2009.07.004,2013,Overlapping microscopy images,"Department of Experimental Medicine, Section of Microbiology and Clinical Microbiology, Faculty of Medicine, Second University of Naples, Naples, Italy.",9,,,23.33333333333333,9,9
130,Proteasome Dysfunction Mediates High Glucose-Induced Apoptosis in Rodent Beta Cells and Human Islets,"Infect. Immun. 2012, 80(8):2920",10.1371/journal.pgen.1004121,2014,"Duplicated/mirrored bands, manipulated","Laboratory of Tumor Biology, Angiogenesis and Nanomedicine Research, National Center for Cell Science, Pune, India.",17,,,30.0,20,7
131,Suppression of Interferon Lambda Signaling by SOCS-1 Results in Their Excessive Production during Influenza Virus Infection,"Environmental Microbiology (2012) 14(10), 2788Ä2799",10.1371/journal.pbio.1001847,2013,"Duplicated, and shifted GAPDH gel panel","Department of Clinical and Experimental Medicine, General Pathology and Immunology Section, University of Perugia, Perugia, Italy. erosati@unipg.it",17,,,0.4,8,14
132,High cellular organization of pyoverdine biosynthesis in Pseudomonas aeruginosa: clustering of PvdA at the old cell poleemi_274,"PLOS One, April 2014 | Volume 9 | Issue 4 | e93995",10.1016/j.ccr.2012.10.003,2010,"duplicated, stretched blot panels with duplicated area within blot","McArdle Laboratory for Cancer Research, University of Wisconsin-Madison, Madison, WI 53706, USA.",23,PhD,,50.6,224,17
133,Caspase-1-Like Regulation of the proPO-System and Role of ppA and Caspase-1-Like Cleaved Peptides from proPO in Innate Immunity,"Infect. Immun. 2012, 80(8):2689",10.1016/j.cyto.2007.01.002,2006,Overlapping microscopy images,"Departments of Molecular Biology, The Scripps Research Institute, La Jolla, CA 92037, USA.",13,,,1.8571428571428568,24,5
134,HD-GYP domain proteins regulate biofilm formation and virulence in Pseudomonas aeruginosa,Cytokine 60 (2012) 360Ä368,10.1371/journal.pone.0094472,2014,duplicated/reused actin blot panels,"Experimental and Clinical Research Center (ECRC), Charité-Universitätsmedizin Berlin, Max Delbrück Center (MDC) for Molecular Medicine in the Helmholtz Association, Berlin, Germany.",11,MD,,2.6,62,9
135,"Molecular Mechanism of SSR128129E, an Extracellularly Acting, Small-Molecule, Allosteric Inhibitor of FGF Receptor Signaling","PLOS ONE, April 2013 | Volume 8 | Issue 4 | e62170",10.1371/journal.pbio.1001847,2004,,"Andrology Department of Integrative Medicine, Zhongda Hospital, School of Medicine, Southeast University.",5,,Biology,3.375,1,29
136,Loss of the Par3 Polarity Protein Promotes Breast Tumorigenesis and Metastasis,"Infect. Immun. Feb. 2003, p. 948Ä955 Vol. 71, No. 2",10.1155/2014/640857,2013,,"Department of Enzymology, A.N. Belozersky Institute of Physico-Chemical Biology, Moscow State University, 119899 Moscow, Russia.",31,,,0.8,70,4
137,Porphyromonas gingivalis lipopolysaccharide regulates interleukin (IL)-17 and IL-23 expression via SIRT1 modulation in human periodontal ligament cells,"Microbiol. Immunol., 49(3), 219Ä225, 2005",10.1371/journal.ppat.1003576,2013,"duplicated, shifted blot panels","Department of Oncology, Faculty of Medicine, McGill University, Lady Davis Institute-Segal Cancer Center from the Jewish General Hospital, Montreal, Quebec, Canada.",15,,,0.9523809523809524,1,13
138,"Investigation of the roles of T6SS genes in motility, biofilm formation and extracellular protease Asp production in Vibrio alginolyticus with modified Gateway-compatible plasmids","PLOS ONE, August 2013 | Volume 8 | Issue 8 | e71127",10.1371/journal.pone.0094472,2001,Duplicated control blot panel,"1] Priority Research Centre for Cancer Research, University of Newcastle, Callaghan, NSW, Australia [2] School of Medicine and Public Health, University of Newcastle, Callaghan, NSW, Australia.",13,,,2.6666666666666665,4,5
139,Up-regulation of focal adhesion kinase in non-small cell lung cancer,Cytokine 56 (2011) 245Ä255,10.1128/IAI.00805-10,1998,"Duplicated gel, differently cut","Center of Excellence in Sickle Cell Disease and Division of Hematology/Oncology, 88 East Newton St., Boston, MA 02118, USA. ssafaya@bu.edu",5,,Biology,60.0,70,12
140,Imbalance between pSmad3 and Notch induces CDK inhibitors in old muscle stem cells,J. Cell Biol. Vol. 199 No. 3 481Ä496,10.1016/S0169-5002(01)00212-4,2011,"Duplicated pic of agar plate, but different exposure.",None,13,Doctor of Philosophy,,1.4117647058823528,47,7
141,HD-GYP domain proteins regulate biofilm formation and virulence in Pseudomonas aeruginosa,"PLOS Genetics, March 2013 | Volume 9 | Issue 3 | e1003361, doi:10.1371/journal.pgen.1003361",10.1371/journal.ppat.1003445,2010,"Duplicated bands within blot strips, multiple cases","UMR 7242, Université de Strasbourg-CNRS, ESBS, Blvd Sébastien Brant, F-67413 Illkirch, Strasbourg, France.",7,PhD in Microbiology,,15.875,34,17
142,Neurogenesis and Increase in Differentiated Neural Cell Survival via Phosphorylation of Akt1 after Fluoxetine Treatment of Stem Cells,"PLOS One, March 2014 | Volume 9 | Issue 3 | e92305",10.1038/nature07091,2012,Mirrored blot,"Department of Nephrology, The First Affiliated Hospital, Sun Yat-sen University, Guangzhou 510080, Guangdong, PR China.",21,,Biology,4.4,18,27
143,High cellular organization of pyoverdine biosynthesis in Pseudomonas aeruginosa: clustering of PvdA at the old cell poleemi_274,Cytokine 53 (2011) 42Ä51,10.1128/IAI.06056-11,2006,Duplicated blot panel,"UMR 7242, Université de Strasbourg-CNRS, ESBS, Blvd Sébastien Brant, F-67413 Illkirch, Strasbourg, France.",11,,,0.7333333333333333,70,10
144,"STIM1, a direct target of microRNA-185, promotes tumor metastasis and is associated with poor prognosis in colorectal cancer","PLOS One, January 2013 | Volume 8 | Issue 1 | e53510",10.1002/ijc.27917,2010,Overlapping microscopy panels,"Department of Craniofacial Biology and the Center for Oral Health Research, Medical University of South Carolina, SC 29425, United States.",5,PhD,Biology,1.0909090909090908,3,16
145,TGF-b/Smad3 Stimulates Stem Cell/Developmental Gene Expression and Vascular Smooth Muscle Cell De-Differentiation,Cytokine 36 (2006) 218Ä228,10.1155/2011/507920,1999,Duplicated control blot panel,"School of Life Sciences, Tsinghua University, Beijing 100084, China.",11,,Biology,0.8,12,8
146,Downregulation of MDR1 Gene by Cepharanthine Hydrochloride Is Related to the Activation of c-Jun/JNK in K562/ADR Cells,"Int. J. Cancer: 132, 90Ä100 (2013)",10.1016/j.cyto.2013.04.009,2011,"duplicated actin blot panels, exact","Neurophysiology Laboratory, Department of Pharmacology and Experimental Neuroscience, University of Nebraska Medical Center, Omaha, Nebraska, United States of America",11,MD,,1.625,300,7
147,Suppression of Interferon Lambda Signaling by SOCS-1 Results in Their Excessive Production during Influenza Virus Infection,"Infection, and Immunity, September 2014 Volume 82 Number 9 p. 3867Ä3879",10.1128/IAI.00156-09,2012,Multiple cases of shifted or duplicated blot panels,"Bellvitge Biomedical Research Institute (IDIBELL), Barcelona, Spain",15,,,1.2142857142857142,244,3
