,Citation,DOI,Year,FINDINGS,title,affiliation,lab_size,Highest_degree,Degree_area,Publication_Rate,Other Journals Published In,duration of Career(Years)
75,"BioMed Research International Volume 2013, Article ID 358945",10.1016/j.cyto.2004.12.015,2013,Multiple cases of duplicated blot panels,Loss of the Par3 Polarity Protein Promotes Breast Tumorigenesis and Metastasis,None,5,,,26.0,39,9
76,mBio 4(3): 2013,10.1371/journal.pone.0069134,2014,"Multiple, multiple cases of duplicated lanes within blots/gels",Distinct expression of C4.4A in colorectal cancer detected by different antibodies,"Center for Microbial Interface Biology, Department of Microbial Infection and Immunity, The Ohio State University, Columbus, Ohio, United States of America",11,,Biology,184.6,4,6
77,"PLOS Genetics, January 23, 2014DOI: 10.1371",10.1128/IAI.00539-13,2003,Multiple cases of duplicated blot strips,"Magnesium Lithospermate B, an Active Extract of Salvia miltiorrhiza, Mediates sGC/cGMP/PKG Translocation in Experimental Vasospasm","Laboratory of Lung Biology, Department of Pathobiological Sciences and Center for Experimental Infectious Disease Research, Harvard Medical School, Boston, Massachusetts, USA",7,PhD,,0.7333333333333333,10,11
78,"Evidence-Based Complementary, and Alternative Medicine, Volume 2014, Article ID 640857",10.1002/ijc.28280,2013,Duplicated set of images - most likely an error,The Helicobacter pylori Urease B Subunit Binds to CD74 on Gastric Epithelial Cells and Induces NF-__B Activation and Interleukin-8 Production,"Department of Biology, Faculty of Arts and Sciences, American University of Beirut, Beirut, Lebanon.",6,,,0.5,13,4
79,"Infect. Immun. 2013, 81(9):3239. DOI: 10.1128/IAI.00552-13",10.3892/ijo.2012.1714,2014,"Duplicated bands within blot strips, multiple cases",Roles of p38 and ERK MAP kinases in IL-8 expression in TNF-a- and dexamethasone-stimulated human periodontal ligament cells,"School of Human Science and Environment, University of Hyogo, Himeji, Japan. kitamoto@shse.u-hyogo.ac.jp",11,,,5.2727272727272725,23,4
80,"Infection, and Immunity, Oct. 2001, p. 6131Ä6139 Vol. 69, No. 10",10.1128/IAI.00552-13,2005,Multiple cases of reused blot panels,Ellipticine-induced apoptosis depends on Akt translocation and signaling in lung epithelial cancer cells,"Laboratory of Tumor Biology, Angiogenesis and Nanomedicine Research, National Center for Cell Science, Pune, India.",5,BSc in Pharmacy,,45.33333333333334,30,27
81,"INTERNATIONAL JOURNAL OF ONCOLOGY 40: 1779-1788, 2012",10.1016/j.lungcan.2008.05.026,2012,Multiple cases of overlapping microscopy panels,Multidrug resistance protein MdtM adds to the repertoire of antiporters involved in alkaline pH homeostasis in Escherichia coli,"National Creative Research Initiatives Center for Nuclear Receptor Signals, Hormone Research Center, School of Biological Sciences and Technology, Chonnam National University, Gwangju, Republic of Korea",15,PhD,,0.625,1,9
82,"PLOS ONE, February 2013 | Volume 8 | Issue 2 | e57285, doi:10.1371/journal.pone.0057285",10.1371/journal.pone.0087003,2003,Duplicated blot panel within other panel,TspanC8 tetraspanins regulate ADAM10/Kuzbanian trafficking and promote Notch activation in flies and mammals,"Department of Biochemistry and Molecular Biology, Bengbu Medical College, Bengbu, Anhui, China",11,PhD,,19.571428571428573,20,12
83,"Science 321, 1357 (2008)",10.1016/j.ccr.2012.10.003,2012,Multiple cases of shifted or duplicated blot panels,Repression of microRNA-768-3p by MEK/ERK signalling contributes to enhanced mRNA translation in human melanoma,"Department of Pharmacology, National Medicines Institute, Warsaw, Poland",19,PhD,,2.6666666666666665,5,7
84,mBio 2(6):  2011,10.1371/journal.ppat.1003845,2013,Mirrored blot,Differential Effects of Collagen Prolyl 3-Hydroxylation on Skeletal Tissues,"Thoracic Surgery, Key Laboratory of Carcinogenesis and Translational Research Ministry of Education, Peking University School of Oncology, Beijing Cancer Hospital & Institute, Beijing, China",15,PhD,,17.647058823529417,1,9
85,"Int. J. Cancer: 133, 43Ä58 (2013)",10.1371/journal.pone.0094830,2014,Duplicated blot panel,Upregulation of PIAS1 protects against sodium taurocholate-induced severe acute pancreatitis associated with acute lung injury,"Mikrobiologisches Institut, Universitätsklinikum Erlangen, Erlangen, Germany.",21,,,1.5833333333333333,4,12
86,"Letters in Applied Microbiology 55, 73Ä81, 2012",10.3892/ijo.2012.1741,2013,Multiple cases of duplicated blot panels,"Adiponectin stimulates release of CCL2, -3, -4 and -5 while the surface abundance of CCR2 and -5 is simultaneously reduced in primary human monocytes","Department of Medical Oncology, Fudan University Shanghai Cancer Center, Department of Oncology, Shanghai Medical College, Fudan University, 270 Dong'an Road, Xuhui District, Shanghai, 200032, PR China; NHC Key Laboratory of Glycoconjugate Research, Department of Biochemistry and Molecular Biology, School of Basic Medical Sciences, Fudan University, 130 Dong'an Road, Xuhui District, Shanghai, 200032, PR China.",6,PhD,,0.5,4,10
87,"PLOS Genetics, July 2014 | Volume 10 | Issue 7 | e1004480",10.3892/ijo.2013.1903,2009,"Duplicated or mirrored blot panels, or lanes within blots",Proteasome Dysfunction Mediates High Glucose-Induced Apoptosis in Rodent Beta Cells and Human Islets,"CAS Key Laboratory of Pathogenic Microbiology and Immunology, Institute of Microbiology, Chinese Academy of Sciences, Beijing, China",17,,,0.625,33,8
88,Cytokine 48 (2009) 170Ä176,10.1016/j.cyto.2008.12.015,2001,"Duplicated mirrored band, stamping in background",Estrogen receptor _ inhibits estradiol-induced proliferation and migration of MCF-7 cells through regulation of mitofusin 2,"Department of Biochemistry and Molecular Biophysics, Biochemistry and Molecular and Cellular Biology Graduate Program, University of Arizona, Tucson, AZ, USA.",19,Doctor of Philosophy,Biology,16.5,20,7
89,Cytokine 35 (2006) 67Ä76,10.1073/pnas.1319190110,2012,Multiple cases of overlapping microscopy panels,miR-221 Promotes Tumorigenesis in Human Triple Negative Breast Cancer Cells,"College of Veterinary Medicine, Nanjing Agricultural University, Nanjing, China Key Lab of Animal Bacteriology, Ministry of Agriculture, Nanjing, China.",7,Ph.D.,,42.857142857142854,300,8
90,"PLOS Genetics, July 2014 | Volume 10 | Issue 7 | e1004480",10.1016/j.lungcan.2006.06.006,2013,multiple cases of duplicated bands within same blot,RNA-seq Analysis of Host and Viral Gene Expression Highlights Interaction between Varicella Zoster Virus and Keratinocyte Differentiation,"Department of Nephrology, University of California, San Francisco, San Francisco, California, United States of America",11,PhD,,0.9523809523809524,10,5
91,Lung Cancer 73 (2011) 302Ä309,10.1016/j.lungcan.2008.05.026,2006,Duplicated FACS panel,Suppression of Interferon Lambda Signaling by SOCS-1 Results in Their Excessive Production during Influenza Virus Infection,"1] Priority Research Centre for Cancer Research, University of Newcastle, Callaghan, NSW, Australia [2] School of Medicine and Public Health, University of Newcastle, Callaghan, NSW, Australia.",7,,,3.4705882352941178,11,4
92,"Infect. Immun. Mar. 2004, p. 1223Ä1229 Vol. 72, No. 3",10.1128/IAI.05798-11,2012,Overlapping microscopy images,In vitro susceptibility to the pro-apoptotic effects of TIMP-3 gene delivery translates to greater in vivo efficacy versus gene delivery for TIMPs-1 or -2,"Laboratory of Tumor Biology, Angiogenesis and Nanomedicine Research, National Center for Cell Science, Pune, India.",5,MD,,1.2727272727272727,85,9
93,"Oncogene (2014) 33, 2577Ä2588",10.1002/ijc.27863,2012,"duplicated, shifted blot panels",Mitochondrial Dysfunction Promotes Breast Cancer Cell Migration and Invasion through HIF1a Accumulation via Increased Production of Reactive Oxygen Species,"School of Dentistry, Chung Shan Medical University, Taichung 40201, Taiwan; Department of Dentistry, Chung Shan Medical University Hospital, Taichung 40201, Taiwan.",9,MD,,8.571428571428571,300,15
94,"Cancer Cell 23, 784Ä795, June 10, 2013",10.1111/j.1348-0421.2010.00241.x,2012,"Duplicated FACS panel, gated differently",Distribution of the Secondary Type III Secretion System Locus Found in Enterohemorrhagic Escherichia coli O157:H7 Isolates among Shiga Toxin-Producing E. coli Strains,"Department of Oral and Molecular Microbiology, Osaka University Graduate School of Dentistry, 1-8 Yamadaoka, Japan. okahashi@dent.osaka-u.ac.jp",3,,,100.0,300,7
95,Cytokine 37 (2007) 227Ä235,10.1128/IAI.06056-11,2014,"very similar negative microscopy images, very similar cell grouping in other image",Roles of p38 and ERK MAP kinases in IL-8 expression in TNF-a- and dexamethasone-stimulated human periodontal ligament cells,"Department of Surgery, Gastroenterological Surgery, Graduate School of Medicine, Osaka University, Suita, Osaka, Japan.",4,,,1.8571428571428568,300,14
96,"BioMed Research International, Volume 2014, Article ID 164391",10.1371/journal.pone.0099137,2013,"Overlapping microscopy, duplicated blots, multiple cases",Ellipticine-induced apoptosis depends on Akt translocation and signaling in lung epithelial cancer cells,"Department of Biology and Biochemistry and the Centre for Regenerative Medicine, University of Bath, Bath, United Kingdom",7,,,100.0,11,6
97,Cytokine 42 (2008) 222Ä233,10.1371/journal.pone.0068296,2008,"Reused lanes, possibly duplicated lanes",RNA-seq Analysis of Host and Viral Gene Expression Highlights Interaction between Varicella Zoster Virus and Keratinocyte Differentiation,"Division of Infection and Immunity, University College London, London, United Kingdom",15,,,36.0,3,9
98,"BioMed Research International, Volume 2013, Article ID 582526",10.1371/journal.pone.0093563,2008,Same band seen twice in one blot strip,"Expression of Mina53, a novel c-Myc target gene, is a favorable prognostic marker in early stage lung cancer","Department of Microbiology and Immunology, Nihon University School of Dentistry at Matsudo, 2-870-1 Sakaecho-Nishi, Matsudo, Chiba 271-8587, Japan.",11,,,5.25,300,10
99,"Evidence-Based Complementary, and Alternative Medicine, Volume 2014, Article ID 989340",10.1371/journal.pone.0099137,2014,Overlapping microscopy images,Differential chemokine expression in tubular cells in response to urinary proteins from patients with nephrotic syndrome,"Department of Biology, Faculty of Arts and Sciences, American University of Beirut, Beirut, Lebanon. sawkreyd@aub.edu.lb",13,Phd,Psychology,1.2727272727272727,39,8
100,"PLOS Pathogens, January 2013 | Volume 9 | Issue 1 | e1003114",10.3892/ijo.2012.1741,2006,"Reused blot, shifted, other protein",A Comparative Study for the Evaluation of Two Doses of Ellagic Acid on Hepatic Drug Metabolizing and Antioxidant Enzymes in the Rat,"Department of Applied Veterinary Science, Research Center for Animal Hygiene and Food Safety, Obihiro University of Agriculture and Veterinary Medicine, Hokkaido Institute of Public Health, Hokkaido, Japan. smakino@obihiro.ac.jp",15,,,3.4,100,4
101,"PLOS ONE, May 2013 | Volume 8 | Issue 5 | e63581",10.1186/bcr3441,2012,Duplicated lanes with blot panel,Carbon Ion Radiation Inhibits Glioma and Endothelial Cell Migration Induced by Secreted VEGF,"Department of Oncology, Johns Hopkins University School of Medicine and the Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins, Baltimore MD 21231, USA.",16,,,1.1111111111111112,137,2
102,"PLOS ONE, July 2013 | Volume 8 | Issue 7 | e68296, doi:10.1371/journal.pone.0068296",10.1016/j.cyto.2008.12.013,2012,Overlapping microscopy images,JMJD6 is a driver of cellular proliferation and motility and a marker of poor prognosis in breast cancer,"1] Institute of Bioinformatics and Biosignal Transduction, College of Bioscience and Biotechnology, National Cheng-Kung University, Tainan, Taiwan [2] Center for Infection Disease and Signal Transduction, National Cheng-Kung University, Tainan, Taiwan.",13,,,2.6,30,7
103,Cytokine 60 (2012) 718Ä730,10.1073/pnas.1319190110,2013,Duplicated blot strips,CXCR1 and CXCR2 are novel mechano-sensors mediating laminar shear stress-induced endothelial cell migration,"Divisiont of Urology, Kobe University Graduate School of Medicine, Japan. hara@med.kobe-u.ac.jp",17,,,4.814814814814816,1,10
104,Cytokine 26 (2004) 1-8,10.3892/ijo.2012.1741,2014,Same band seen twice in one blot strip,Pseudomonas aeruginosa Outer Membrane Vesicles Modulate Host Immune Responses by Targeting the Toll-Like Receptor 4 Signaling Pathway,"Department of Oral Biology and Pathology, School of Dental Medicine, Stony Brook University, Stony Brook, New York, United States of America",11,PhD,Biology,50.6,15,17
105,"PLOS One, March 2014 | Volume 9 | Issue 3 | e90608",10.1371/journal.pone.0062170,2013,"Duplicated, and shifted GAPDH gel panel",A novel function for p21Cip1 and acetyltransferase p/CAF as critical transcriptional regulators of TGFb-mediated breast cancer cell migration and invasion,"The Zabludowicz Center for Autoimmune Diseases, Sheba Medical Center, Affiliated to Sackler Faculty of Medicine, Tel-Aviv University, Israel.",5,,,4.4,144,9
106,"Oncogene (2015) 34, 826Ä837",10.1038/onc.2012.182,2005,"Multiple cases of duplicated blots, stretched",The deubiquitylase USP37 links REST to the control of p27 stability and cell proliferation,"Department of Surgery, Gastroenterological Surgery, Graduate School of Medicine, Osaka University, Suita, Osaka, Japan.",9,PhD,Biology,1.5,35,11
107,"PLOS ONE, July 2013 | Volume 8 | Issue 7 | e69134, doi:10.1371/journal.pone.0069134",10.1155/2011/507920,2013,"Identical microscopy panels, might be error",Ellipticine-induced apoptosis depends on Akt translocation and signaling in lung epithelial cancer cells,"Department of Biology, University of North Carolina at Charlotte, Charlotte, North Carolina 28223, USA. lwschrum@email.uncc.edu",8,,Biology,0.8333333333333334,24,6
108,"BioMed Research International, Volume 2014, Article ID 272101",10.1016/j.lungcan.2011.01.012,2014,Duplicated microscopy panels,Physical characterisation of Tenacibaculum maritimum for vaccine development,"Department of Parasitology, Asahikawa Medical College, Asahikawa, Japan.",4,,,0.75,50,4
109,"PLoS ONE 9(6): e99137, June 11, 2014. doi:10.1371/journal.pone.0099137",10.1128/IAI.68.1.72-79.2000,2008,"duplicated blot, shifted microscopy",A Comparative Study for the Evaluation of Two Doses of Ellagic Acid on Hepatic Drug Metabolizing and Antioxidant Enzymes in the Rat,"Center for Microbial Interface Biology, Department of Microbial Infection and Immunity, The Ohio State University, Columbus, Ohio, United States of America",7,,,60.0,8,11
110,Cytokine 30 (2005) 328-338,10.3892/ijo.2013.1809,2010,Overlapping microscopy images,Dose-Dependent Effect of Estrogen Suppresses the Osteo-Adipogenic Transdifferentiation of Osteoblasts via Canonical Wnt Signaling Pathway,"National Institute of Biomedical Genomics, 2nd Floor Netaji Subash Sanatorium, Kalyani 741251, India.",11,,,24.88888888888889,78,13
111,"Genome Biology 2013, 14:R121",10.1073/pnas.1310331110,2012,Overlapping microscopy images,Differential chemokine expression in tubular cells in response to urinary proteins from patients with nephrotic syndrome,"Department of Immunology, Medical College of Chinese People's Armed Police Forces, Tianjin, People's Republic of China. wy68wy68@yahoo.com.cn",15,,,5.0,76,7
112,Cytokine 44 (2008) 33Ä43,10.1083/jcb.201201133,2005,Duplicated blot strips,Differential chemokine expression in tubular cells in response to urinary proteins from patients with nephrotic syndrome,"Department of Biology, Faculty of Arts and Sciences, American University of Beirut, Beirut, Lebanon. sawkreyd@aub.edu.lb",13,,Computer Science,42.857142857142854,39,18
113,"PLOS One, February 2014 | Volume 9 | Issue 2 | e90318",PMID: 9864199,2013,"duplicated, shifted, rotated blot strips/lanes","Ovarian cancer cells, not normal cells, are damaged by Mirk/Dyrk1B kinase inhibition","Department of Biology and Biochemistry and the Centre for Regenerative Medicine, University of Bath, Bath, United Kingdom",9,Ph.D.,,5.0,11,7
114,"PLOS One, April 2014 | Volume 9 | Issue 4 | e93563",10.1128/IAI.00156-09,2011,"duplicated lanes within same blot, or in different blots, duplicated microscopy panel",Curcumin Modulates the Inflammatory Response and Inhibits Subsequent Fibrosis in a Mouse Model of Viral- induced Acute Respiratory Distress Syndrome,"Department of Biochemistry and Molecular Biology, Wright State University School of Medicine, Dayton, Ohio 45435, USA. bwilson@wright.edu",4,,,1.5833333333333333,8,5
115,"Int. J. Cancer: 133, 247Ä252 (2013)",10.1016/j.cyto.2008.01.001,2005,duplicated colony strip,S137 Phosphorylation of Profilin 1 Is an Important Signaling Event in Breast Cancer Progression,"National Institute of Biomedical Genomics, 2nd Floor Netaji Subash Sanatorium, Kalyani 741251, India.",6,DVM,,1.7,70,13
116,"Nature, Vol. 454, 24 July 2008, page 528",10.1371/journal.pone.0092189,2012,Duplicated lanes within same blot,RAS promotes tumorigenesis through genomic instability induced by imbalanced expression of Aurora-A and BRCA2 in midbody during cytokinesis,"Institute of Pharmacology, Toxicology and Pharmacy, Ludwig-Maximilians-University, Munich, Germany",7,,,10.344827586206897,4,29
117,"Evidence-Based Complementary, and Alternative Medicine, Volume 2013, Article ID 594906",10.1128/IAI.00156-09,2012,duplicated/mirrored blot panels (negative blots),"Mannheimia haemolytica Leukotoxin Activates a Nonreceptor Tyrosine Kinase Signaling Cascade in Bovine Leukocytes, Which Induces Biological Effects","Advanced Laboratory for Plant Genetic Engineering, Advanced Technology Development Centre, Indian Institute of Technology Kharagpur, Kharagpur, India",11,,Medicine,1.2142857142857142,20,10
118,"Breast Cancer Research 2012, 14:R85",10.1016/j.cyto.2008.02.005,2013,"repetitive bands, and background in gel panel",Ectopic Expression of a Maize Hybrid Down-Regulated Gene ZmARF25 Decreases Organ Size by Affecting Cellular Proliferation in Arabidopsis,"Department of Veterinary Biosciences, College of Veterinary Medicine, The Ohio State University, Columbus 43210-1093, USA.",11,,,60.0,130,7
119,"PLOS Pathogens 2014, April 2014 | Volume 10 | Issue 4 | e1004059, doi:10.1371/journal.ppat.1004059",10.1128/IAI.01192-08,2014,Rotated western blot,Interleukin-1 b inhibits NaC-KCATPase activity and protein expression in cardiac myocytes,"Department of Radiation Oncology, Nanfang Hospital, Southern Medical University, Guangzhou, Guangdong Province, People's Republic of China.",7,,,0.8,224,8
120,"Breast Cancer Research 2012, 14:R35",10.1186/bcr3128,2013,Multiple cases of reused blot strips,Signaling pathway underlying the up-regulatory effect of TNF-a on the Na+/K+ ATPase in HepG2 cells,"Department of Medical Research, Chi-Mei Medical Center, Tainan, Taiwan.",17,,,1.7,19,18
121,Cytokine 60 (2012) 718Ä730,10.1016/j.cyto.2008.12.021,2004,bands in gel appear to be spliced in,Protein Kinase LegK2 Is a Type IV Secretion System Effector Involved in Endoplasmic Reticulum Recruitment and Intracellular Replication of Legionella pneumophila__,"Center for Microbial Interface Biology, Department of Microbial Infection and Immunity, The Ohio State University, Columbus, Ohio, United States of America",9,,Psychology,2.176470588235294,300,6
122,Cytokine 56 (2011) 245Ä255,10.1002/ijc.28032,2014,Duplicated blot panel,Infection by Streptococcus pyogenes Induces the Receptor Activator of NF-__B Ligand Expression in Mouse Osteoblastic Cells,"The Biodesign Institute, Center for Infectious Diseases and Vaccinology, Arizona State University, Tempe, Arizona, USA. jasantanderm@asu.edu",11,,,3.8571428571428568,4,14
123,"Infection, and Immunity, Mar. 2005, p. 1754Ä1763 Vol. 73, No. 3",10.3892/ijo.2013.1761,2013,duplication of whole blot?,Caveolin-1 is a novel regulator of K-RAS-dependent migration in colon carcinogenesis,"Department of Applied Veterinary Science, Research Center for Animal Hygiene and Food Safety, Obihiro University of Agriculture and Veterinary Medicine, Hokkaido Institute of Public Health, Hokkaido, Japan. smakino@obihiro.ac.jp",19,PhD,,6.909090909090909,136,1
124,"PLOS One, April 2014 | Volume 9 | Issue 4 | e93563",10.1155/2014/936978,2009,"duplicated, and mirrored blots",LPS Unmasking of Shigella flexneri Reveals Preferential Localisation of Tagged Outer Membrane Protease IcsP to Septa and New Poles,"Department of Surgery, University of Wisconsin Hospital and Clinics, Madison, Wisconsin, United States of America",13,PhD,,0.5,26,16
125,Cytokine 60 (2012) 360Ä368,10.1111/j.1462-2920.2008.01842.x,2013,Mirrored blot,Frequent methylation and oncogenic role of microRNA-34b/c in small-cell lung cancer,None,17,DVM,,2.5,1,6
126,Cytokine 62 (2013) 407Ä412,10.1016/j.cyto.2011.08.017,2014,Mirrored blot,Caffeic Acid Phenethyl Ester Inhibits Oral Cancer Cell Metastasis by Regulating Matrix Metalloproteinase-2 and the Mitogen-Activated Protein Kinase Pathway,"School of Life Sciences, Tsinghua University, Beijing 100084, China.",4,,,0.42857142857142855,6,18
127,mBio 2(6):  2011,10.1016/j.jaut.2007.02.007,2013,Manipulated FACS plots,A Comparative Study for the Evaluation of Two Doses of Ellagic Acid on Hepatic Drug Metabolizing and Antioxidant Enzymes in the Rat,"CAS Key Laboratory of Pathogenic Microbiology and Immunology, Institute of Microbiology, Chinese Academy of Sciences, Beijing, China",9,,,0.6,300,18
128,"Environmental Microbiology (2009) 11(5), 1126Ä1136",10.1155/2013/594906,2011,"duplicated actin blot panels, exact",Low-Level Laser Stimulation on Adipose-Tissue-Derived Stem Cell Treatments for Focal Cerebral Ischemia in Rats,"1] Institute of Bioinformatics and Biosignal Transduction, College of Bioscience and Biotechnology, National Cheng-Kung University, Tainan, Taiwan [2] Center for Infection Disease and Signal Transduction, National Cheng-Kung University, Tainan, Taiwan.",9,PhD,,3.4285714285714284,9,17
129,"Infection and Immunity 73: Feb. 2003, p. 766Ä773",10.1016/j.lungcan.2008.05.026,2014,"duplicated, shifted blot panels","c-Secretase inhibitor I induces apoptosis in chronic lymphocytic leukemia cells by proteasome inhibition, endoplasmic reticulum stress increase and Notch down-regulation","Department of Human Anatomy and Histology, University of Bari, Piazza Giulio Cesare 1, Policlinico, I-70124 Bari, Italy. m.sisto@anatomia.uniba.it",15,PhD,,1.7,63,2
130,Cytokine 48 (2009) 170Ä176,10.1371/journal.pbio.1001847,2013,"Duplicated/stretched images of a leaf, duplicated gel panels",Shox2 is a molecular determinant of depot-specific adipocyte function,"University of Glasgow School of Medicine, Institute of Medical Genetics, Yorkhill Hospital, Glasgow, United Kingdom",15,PhD,,3.25,41,9
131,"PLOS ONE, January 2014 | Volume 9 | Issue 1 | e84982",10.1155/2013/467245,2013,reuse of 2 bands multiple times to create blot panel,Poison Domains Block Transit of Translocated Substrates via the Legionella pneumophila Icm/Dot System,"Department of Cancer Biology, Dana-Farber Cancer Institute, Boston, Massachusetts 02115, USA.",15,PhD in Molecular Biophysics,Biology,10.875,6,17
132,"Int. J. Cancer: 133, 275Ä286 (2013)",10.1016/j.cyto.2013.04.009,2013,Duplicated microscopy panels,D14ÄSCFD3-dependent degradation of D53 regulates strigolactone signalling,"National Human Genome Research Institute, National Institutes of Health, Bethesda, Maryland, United States of America",7,Doctor of Philosophy,Education,1.5714285714285714,40,12
133,Cytokine 44 (2008) 221Ä228,10.1016/j.cyto.2010.09.007,2011,Duplicated blot panel,Cell Atavistic Transition: Paired Box 2 Re-Expression Occurs in Mature Tubular Epithelial Cells during Acute Kidney Injury and Is Regulated by Angiotensin II,"Servicio de Microbiología, Hospital Son Dureta and Instituto Universitario de Investigación en Ciencias de la Salud, Palma de Mallorca, Spain.",4,,,21.66666666666667,6,8
134,"Infect. Immun. 2012, 80(7):2558",10.1016/j.cyto.2006.07.009,2012,,Repression of microRNA-768-3p by MEK/ERK signalling contributes to enhanced mRNA translation in human melanoma,"Department of Biochemistry and Molecular Biology, School of Medicine and Health Sciences, University of North Dakota, Grand Forks, North Dakota, USA",11,,,1.0,2,5
135,"Evidence-Based Complementary, and Alternative Medicine, Volume 2013, Article ID 467245",10.1126/science.1156725,2012,,Distinct Roles of Pattern Recognition Receptors CD14 and Toll-Like Receptor 4 in Acute Lung Injury,"Oncology Research, Pfizer Worldwide Research and Development, San Diego, California, United States of America",13,Doctor of Philosophy,Biology,2.5,25,4
136,Cytokine 26 (2004) 1-8,10.1038/nature10539,2008,"Duplicated panel, different exposure?",Nasal Immunization with a Fusion Protein Consisting of the Hemagglutinin A Antigenic Region and the Maltose-Binding Protein Elicits CD11c__ CD8__ Dendritic Cells for Induced Long-Term Protective Immunity__,"Crete Veterinary Clinic, Nebraska 68333-0008, USA.",7,,Education,1.5833333333333333,70,14
137,"J. Clin. Microbiol. 2009, 47(6):1712. DOI: 10.1128/JCM.00001-09",10.1371/journal.pone.0071127,2014,"Duplicated panel, different exposure?",Genotyping and Phenotyping of Beta2-Toxigenic Clostridium perfringens Fecal Isolates Associated with Gastrointestinal Diseases in Piglets,"Department of Radiation Oncology, Nanfang Hospital, Southern Medical University, Guangzhou, Guangdong Province, People's Republic of China.",7,,,5.0,76,7
138,"PLOS ONE, January 2014 | Volume 9 | Issue 1 | e84982",10.1155/2013/594906,2010,"duplicated blots, different exposure?",TGF-b/Smad3 Stimulates Stem Cell/Developmental Gene Expression and Vascular Smooth Muscle Cell De-Differentiation,None,19,DVM,,0.3333333333333333,300,16
139,Cytokine 26 (2004) 1-8,10.1371/journal.pgen.1003361,2012,Mirrored blot panels representing different proteins,Proteasome Dysfunction Mediates High Glucose-Induced Apoptosis in Rodent Beta Cells and Human Islets,"Department of Veterinary Biosciences, College of Veterinary Medicine, The Ohio State University, Columbus 43210-1093, USA.",17,PhD,Chemistry,1.5714285714285714,923,3
140,"PLOS Pathogens, June 2013 | Volume 9 | Issue 6 | e1003445",10.1083/jcb.201201133,2010,Duplicated microscopy panels,HIV-1 Tat Protein Increases Microglial Outward K+ Current and Resultant Neurotoxic Activity,"a Institut für Pathologie , Universitätsmedizin Greifswald , Greifswald , Germany.",21,,,2.9375,89,23
141,"Cancer Cell 23, 489Ä501, April 15, 2013",10.1038/onc.2014.22,2005,"Duplicated, and shifted western blot panels","Drosophila Mgr, a Prefoldin subunit cooperating with von Hippel Lindau to regulate tubulin stability","Case Western Reserve University, Center for Global Health and Diseases, Cleveland, Ohio, USA",11,,Biology,1.5384615384615383,4,8
142,Journal of Autoimmunity 54 (2014) 118-126,10.1128/JCM.43.8.4002-4009.2005,2013,"Overlapping microscopy, duplicated bands within blots",Epsilon-Toxin Production by Clostridium perfringens Type D Strain CN3718 Is Dependent upon the agr Operon but Not the VirS/VirR Two-Component Regulatory System,"Divisiont of Urology, Kobe University Graduate School of Medicine, Japan. hara@med.kobe-u.ac.jp",11,DVM,,0.8181818181818182,9,10
143,"PNAS | April 10, 2012 | vol. 109 | no. 15 | 5729Ä5734",10.1371/journal.ppat.1003896,2014,duplicated microscopy panel; might be error,"STIM1, a direct target of microRNA-185, promotes tumor metastasis and is associated with poor prognosis in colorectal cancer","Department of Nephrology, The First Affiliated Hospital, Sun Yat-sen University, Guangzhou 510080, Guangdong, PR China.",19,,,1.25,11,41
144,"PLOS One, April 2014 | Volume 9 | Issue 4 | e94830",10.1016/j.cyto.2008.12.015,2005,Manipulated FACS plots,Role of MyD88 in Diminished Tumor Necrosis Factor Alpha Production by Newborn Mononuclear Cells in Response to Lipopolysaccharide,"Department of Biologic and Materials Sciences, University of Michigan School of Dentistry, University of Michigan School of Medicine, Ann Arbor, Michigan, USA.",13,,Biology,1.5384615384615383,49,11
145,"PLOS ONE, July 2013 | Volume 8 | Issue 7 | e69485,  doi: 10.1371/journal.pone.0069485",10.1371/journal.pone.0094472,2013,Mirrored blot,Genetic and epigenetic alterations are involved in the regulation of TPM1 in cholangiocarcinoma,"School of Life Sciences, Tsinghua University, Beijing 100084, China.",15,,,1.0909090909090908,59,13
146,"Environmental Microbiology (2012) 14(10), 2788Ä2799",10.1186/1471-2180-10-53,2010,duplicated microscopy panels,Mitochondrial Dysfunction Promotes Breast Cancer Cell Migration and Invasion through HIF1a Accumulation via Increased Production of Reactive Oxygen Species,"Departamento de Infectómica y Patogénesis Molecular, Centro de Investigación y de Estudios Avanzados del IPN (CINVESTAV-IPN), 07360 México, DF, Mexico.",11,,Biology,2.0526315789473686,28,8
147,"Letters in Applied Microbiology 55, 73Ä81, 2012",10.1371/journal.pone.0093995,2014,Duplicated lanes within same blot,Invasiveness and anchorage independent growth ability augmented by PTEN inactivation through the PI3K/AKT/NFkB pathway in lung cancer cells,"McArdle Laboratory for Cancer Research, University of Wisconsin-Madison, Madison, WI 53706, USA.",7,,Biology,0.6666666666666666,20,17
148,Cytokine 53 (2011) 42Ä51,10.1016/j.cyto.2013.04.009,2014,"duplicated blot strips, slightly shifted",The Retromer Complex Is Required for Rhodopsin Recycling and Its Loss Leads to Photoreceptor Degeneration,"Department of Hematology and Oncology, The First Hospital, Jilin University, 71 Xinmin Street, Changchun 130021, China.",7,DVM,Political Science,30.0,5,4
